,Survived,Pclass,Sex,Age,Fare,Embarked,NameLength,Title,Family_size,Alone,Deck,FamilyBin
129,0,3,1,45.0,6.975,2,18,2,1,1,8,1
130,0,3,1,33.0,7.8958,0,20,2,1,1,8,1
131,0,3,1,20.0,7.05,2,30,2,1,1,8,1
132,0,3,0,47.0,14.5,2,46,3,2,0,8,2
133,1,2,0,29.0,26.0,2,45,3,2,0,8,2
134,0,2,1,25.0,13.0,2,30,2,1,1,8,1
135,0,2,1,23.0,15.0458,0,18,2,1,1,8,1
136,1,1,0,19.0,26.2833,2,28,1,3,0,3,2
137,0,1,1,37.0,53.1,2,27,2,2,0,2,2
138,0,3,1,16.0,9.2167,2,19,2,1,1,8,1
139,0,1,1,24.0,79.2,0,18,2,1,1,1,1
140,0,3,0,32.49,15.2458,0,29,3,3,0,8,2
141,1,3,0,22.0,7.75,2,24,1,1,1,8,1
142,1,3,0,24.0,15.85,2,52,3,2,0,8,2
143,0,3,1,19.0,6.75,1,19,2,1,1,8,1
144,0,2,1,18.0,11.5,2,26,2,1,1,8,1
145,0,2,1,19.0,36.75,2,28,2,3,0,8,2
146,1,3,1,27.0,7.7958,2,44,2,1,1,8,1
147,0,3,0,9.0,34.375,2,32,1,5,0,8,0
148,0,2,1,36.5,26.0,2,40,2,3,0,5,2
149,0,2,1,42.0,13.0,2,33,4,1,1,8,1
150,0,2,1,51.0,12.525,2,26,4,1,1,8,1
151,1,1,0,22.0,66.6,2,33,3,2,0,2,2
152,0,3,1,55.5,8.05,2,16,2,1,1,8,1
153,0,3,1,40.5,14.5,2,31,2,3,0,8,2
154,0,3,1,24.0691803571,7.3125,2,21,2,1,1,8,1
155,0,1,1,51.0,61.3792,0,27,2,2,0,8,2
156,1,3,0,16.0,7.7333,1,32,1,1,1,8,1
157,0,3,1,30.0,8.05,2,15,2,1,1,8,1
158,0,3,1,19.6686702381,8.6625,2,19,2,1,1,8,1
159,0,3,1,12.2366583333,69.55,2,26,0,11,0,8,0
160,0,3,1,44.0,16.1,2,24,2,2,0,8,2
161,1,2,0,40.0,15.75,2,50,3,1,1,8,1
162,0,3,1,26.0,7.775,2,26,2,1,1,8,1
163,0,3,1,17.0,8.6625,2,15,2,1,1,8,1
164,0,3,1,1.0,39.6875,2,28,0,6,0,8,0
165,1,3,1,9.0,20.525,2,47,0,3,0,8,2
166,1,1,0,35.894,55.0,2,38,3,2,0,4,2
167,0,3,0,45.0,27.9,2,47,3,6,0,8,0
168,0,1,1,49.9798333333,25.925,2,19,2,1,1,8,1
169,0,3,1,28.0,56.4958,2,13,2,1,1,8,1
170,0,1,1,61.0,33.5,2,25,2,1,1,1,1
171,0,3,1,4.0,29.125,1,20,0,6,0,8,0
172,1,3,0,1.0,11.1333,2,28,1,3,0,8,2
173,0,3,1,21.0,7.925,2,25,2,1,1,8,1
174,0,1,1,56.0,30.6958,0,23,2,1,1,0,1
175,0,3,1,18.0,7.8542,2,22,2,3,0,8,2
176,0,3,1,3.936075,25.4667,2,29,0,5,0,8,0
177,0,1,0,50.0,28.7125,0,26,1,1,1,2,1
178,0,2,1,30.0,13.0,2,18,2,1,1,8,1
179,0,3,1,36.0,0.0,2,19,2,1,1,8,1
180,0,3,0,18.3465666667,69.55,2,28,1,11,0,8,0
181,0,2,1,29.0012083333,15.05,0,16,2,1,1,8,1
182,0,3,1,9.0,31.3875,2,37,0,7,0,8,0
183,1,2,1,1.0,39.0,2,25,0,4,0,5,2
184,1,3,0,4.0,22.025,2,35,1,3,0,8,2
185,0,1,1,41.92,50.0,2,21,2,1,1,0,1
186,1,3,0,30.50525,15.5,1,47,3,2,0,8,2
187,1,1,1,45.0,26.55,2,45,2,1,1,8,1
188,0,3,1,40.0,15.5,1,16,2,3,0,8,2
189,0,3,1,36.0,7.8958,2,19,2,1,1,8,1
190,1,2,0,32.0,13.0,2,19,3,1,1,8,1
191,0,2,1,19.0,13.0,2,21,2,1,1,8,1
192,1,3,0,19.0,7.8542,2,47,1,2,0,8,2
193,1,2,1,3.0,26.0,2,26,0,3,0,5,2
194,1,1,0,44.0,27.7208,0,41,3,1,1,1,1
195,1,1,0,58.0,146.5208,0,20,1,1,1,1,1
196,0,3,1,39.35555,7.75,1,19,2,1,1,8,1
197,0,3,1,42.0,8.4042,2,32,2,2,0,8,2
198,1,3,0,18.90075,7.75,1,32,1,1,1,8,1
199,0,2,0,24.0,13.0,2,38,1,1,1,8,1
200,0,3,1,28.0,9.5,2,30,2,1,1,8,1
201,0,3,1,25.1247416667,69.55,2,19,2,11,0,8,0
202,0,3,1,34.0,6.4958,2,26,2,1,1,8,1
203,0,3,1,45.5,7.225,0,20,2,1,1,8,1
204,1,3,1,18.0,8.05,2,24,2,1,1,8,1
205,0,3,0,2.0,10.4625,2,26,1,2,0,6,2
206,0,3,1,32.0,15.85,2,26,2,2,0,8,2
207,1,3,1,26.0,18.7875,0,27,2,1,1,8,1
208,1,3,0,16.0,7.75,1,25,1,1,1,8,1
209,1,1,1,40.0,31.0,0,16,2,1,1,0,1
210,0,3,1,24.0,7.05,2,14,2,1,1,8,1
211,1,2,0,35.0,21.0,2,26,1,1,1,8,1
212,0,3,1,22.0,7.25,2,22,2,1,1,8,1
213,0,2,1,30.0,13.0,2,27,2,1,1,8,1
214,0,3,1,36.12155,7.75,1,19,2,2,0,8,2
215,1,1,0,31.0,113.275,0,23,1,2,0,3,2
216,1,3,0,27.0,7.925,2,22,1,1,1,8,1
217,0,2,1,42.0,27.0,2,28,2,2,0,8,2
218,1,1,0,32.0,76.2917,0,21,1,1,1,3,1
219,0,2,1,30.0,10.5,2,18,2,1,1,8,1
220,1,3,1,16.0,8.05,2,30,2,1,1,8,1
221,0,2,1,27.0,13.0,2,20,2,1,1,8,1
222,0,3,1,51.0,8.05,2,23,2,1,1,8,1
223,0,3,1,20.5616672619,7.8958,2,20,2,1,1,8,1
224,1,1,1,38.0,90.0,2,28,2,2,0,2,2
225,0,3,1,22.0,9.35,2,28,2,1,1,8,1
226,1,2,1,19.0,10.5,2,25,2,1,1,8,1
227,0,3,1,20.5,7.25,2,31,2,1,1,8,1
228,0,2,1,18.0,13.0,2,25,2,1,1,8,1
229,0,3,0,5.740185,25.4667,2,23,1,5,0,8,0
230,1,1,0,35.0,83.475,2,44,3,2,0,2,2
231,0,3,1,29.0,7.775,2,24,2,1,1,8,1
232,0,2,1,59.0,13.5,2,25,2,1,1,8,1
233,1,3,0,5.0,31.3875,2,30,1,7,0,8,0
234,0,2,1,24.0,10.5,2,33,2,1,1,8,1
235,0,3,0,20.9195,7.55,2,28,1,1,1,8,1
236,0,2,1,44.0,26.0,2,17,2,2,0,8,2
237,1,2,0,8.0,26.25,2,32,1,3,0,8,2
238,0,2,1,19.0,10.5,2,31,2,1,1,8,1
239,0,2,1,33.0,12.275,2,22,2,1,1,8,1
240,0,3,0,16.0221683333,14.4542,0,21,1,2,0,8,2
241,1,3,0,13.229705,15.5,1,30,1,2,0,8,2
242,0,2,1,29.0,10.5,2,31,2,1,1,8,1
243,0,3,1,22.0,7.125,2,29,2,1,1,8,1
244,0,3,1,30.0,7.225,0,20,2,1,1,8,1
245,0,1,1,44.0,90.0,1,27,4,3,0,2,2
246,0,3,0,25.0,7.775,2,37,1,1,1,8,1
247,1,2,0,24.0,14.5,2,31,3,3,0,8,2
248,1,1,1,37.0,52.5542,2,29,2,3,0,3,2
249,0,2,1,54.0,26.0,2,29,4,2,0,8,2
250,0,3,1,22.5146,7.25,2,22,2,1,1,8,1
251,0,3,0,29.0,10.4625,2,42,3,3,0,6,2
252,0,1,1,62.0,26.55,2,25,2,1,1,2,1
253,0,3,1,30.0,16.1,2,24,2,2,0,8,2
254,0,3,0,41.0,20.2125,2,40,3,3,0,8,2
255,1,3,0,29.0,15.2458,0,39,3,3,0,8,2
256,1,1,0,44.568,79.2,0,30,3,1,1,8,1
257,1,1,0,30.0,86.5,2,20,1,1,1,1,1
258,1,1,0,35.0,512.3292,0,16,1,1,1,8,1
259,1,2,0,50.0,26.0,2,27,3,2,0,8,2
260,0,3,1,52.7994369048,7.75,1,17,2,1,1,8,1
261,1,3,1,3.0,31.3875,2,33,0,7,0,8,0
262,0,1,1,52.0,79.65,2,17,2,3,0,4,2
263,0,1,1,40.0,0.0,2,21,2,1,1,1,1
264,0,3,0,26.67075,7.75,1,18,1,1,1,8,1
265,0,2,1,36.0,10.5,2,17,2,1,1,8,1
266,0,3,1,16.0,39.6875,2,25,2,6,0,8,0
267,1,3,1,25.0,7.775,2,24,2,2,0,8,2
268,1,1,0,58.0,153.4625,2,45,3,2,0,2,2
269,1,1,0,35.0,135.6333,2,22,1,1,1,2,1
270,0,1,1,46.2703125,31.0,2,21,2,1,1,8,1
271,1,3,1,25.0,0.0,2,28,2,1,1,8,1
272,1,2,0,41.0,19.5,2,41,3,2,0,8,2
273,0,1,1,37.0,29.7,0,21,2,2,0,2,2
274,1,3,0,17.21725,7.75,1,26,1,1,1,8,1
275,1,1,0,63.0,77.9583,2,33,1,2,0,3,2
276,0,3,0,45.0,7.75,2,33,1,1,1,8,1
277,0,2,1,46.3328214286,0.0,2,27,2,1,1,8,1
278,0,3,1,7.0,29.125,1,18,0,6,0,8,0
279,1,3,0,35.0,20.25,2,32,3,3,0,8,2
280,0,3,1,65.0,7.75,1,16,2,1,1,8,1
281,0,3,1,28.0,7.8542,2,32,2,1,1,8,1
282,0,3,1,16.0,9.5,2,25,2,1,1,8,1
283,1,3,1,19.0,8.05,2,26,2,1,1,8,1
284,0,1,1,54.7415,26.0,2,26,2,1,1,0,1
285,0,3,1,33.0,8.6625,0,19,2,1,1,8,1
286,1,3,1,30.0,9.5,2,23,2,1,1,8,1
287,0,3,1,22.0,7.8958,2,20,2,1,1,8,1
288,1,2,1,42.0,13.0,2,20,2,1,1,8,1
289,1,3,0,22.0,7.75,1,20,1,1,1,8,1
290,1,1,0,26.0,78.85,2,28,1,1,1,8,1
291,1,1,0,19.0,91.0792,0,39,3,2,0,1,2
292,0,2,1,36.0,12.875,0,22,2,1,1,3,1
293,0,3,0,24.0,8.85,2,19,1,1,1,8,1
294,0,3,1,24.0,7.8958,2,16,2,1,1,8,1
295,0,1,1,49.8705,27.7208,0,17,2,1,1,8,1
296,0,3,1,23.5,7.2292,0,18,2,1,1,8,1
297,0,1,0,2.0,151.55,2,28,1,4,0,2,2
298,1,1,1,41.65975,30.5,2,21,2,1,1,2,1
299,1,1,0,50.0,247.5208,0,47,3,2,0,1,2
300,1,3,0,23.5525,7.75,1,40,1,1,1,8,1
301,1,3,1,33.2214833333,23.25,1,18,2,3,0,8,2
302,0,3,1,19.0,0.0,2,31,2,1,1,8,1
303,1,2,0,29.355175,12.35,1,19,1,1,1,4,1
304,0,3,1,29.24275,8.05,2,33,2,1,1,8,1
305,1,1,1,0.92,151.55,2,30,0,4,0,2,2
306,1,1,0,30.4830833333,110.8833,0,23,1,1,1,8,1
307,1,1,0,17.0,108.9,0,82,3,2,0,2,2
308,0,2,1,30.0,24.0,0,19,2,2,0,8,2
309,1,1,0,30.0,56.9292,0,30,1,1,1,4,1
310,1,1,0,24.0,83.1583,0,30,1,1,1,2,1
311,1,1,0,18.0,262.375,0,26,1,5,0,1,0
312,0,2,0,26.0,26.0,2,37,3,3,0,8,2
313,0,3,1,28.0,7.8958,2,22,2,1,1,8,1
314,0,2,1,43.0,26.25,2,18,2,3,0,8,2
315,1,3,0,26.0,7.8542,2,31,1,1,1,8,1
316,1,2,0,24.0,26.0,2,35,3,2,0,8,2
317,0,2,1,54.0,14.0,2,20,4,1,1,8,1
318,1,1,0,31.0,164.8667,2,24,1,3,0,2,2
319,1,1,0,40.0,134.5,0,56,3,3,0,4,2
320,0,3,1,22.0,7.25,2,18,2,1,1,8,1
321,0,3,1,27.0,7.8958,2,16,2,1,1,8,1
322,1,2,0,30.0,12.35,1,25,1,1,1,8,1
323,1,2,0,22.0,29.0,2,51,3,3,0,8,2
324,0,3,1,17.6246666667,69.55,2,24,2,11,0,8,0
325,1,1,0,36.0,135.6333,0,24,1,1,1,2,1
326,0,3,1,61.0,6.2375,2,25,2,1,1,8,1
327,1,2,0,36.0,13.0,2,23,3,1,1,3,1
328,1,3,0,31.0,20.525,2,46,3,3,0,8,2
329,1,1,0,16.0,57.9792,0,28,1,2,0,1,2
330,1,3,0,5.84262833333,23.25,1,18,1,3,0,8,2
331,0,1,1,45.5,28.5,2,19,2,1,1,2,1
332,0,1,1,38.0,153.4625,2,25,2,2,0,2,2
333,0,3,1,16.0,18.0,2,31,2,3,0,8,2
334,1,1,0,42.5325,133.65,2,50,3,2,0,8,2
335,0,3,1,28.3669140512,7.8958,2,18,2,1,1,8,1
336,0,1,1,29.0,66.6,2,25,2,2,0,2,2
337,1,1,0,41.0,134.5,0,31,1,1,1,4,1
338,1,3,1,45.0,8.05,2,21,2,1,1,8,1
339,0,1,1,45.0,35.5,2,28,2,1,1,7,1
340,1,2,1,2.0,26.0,2,30,0,3,0,5,2
341,1,1,0,24.0,263.0,2,30,1,6,0,2,0
342,0,2,1,28.0,13.0,2,26,2,1,1,8,1
343,0,2,1,25.0,13.0,2,42,2,1,1,8,1
344,0,2,1,36.0,13.0,2,23,2,1,1,8,1
345,1,2,0,24.0,13.0,2,29,1,1,1,5,1
346,1,2,0,40.0,13.0,2,25,1,1,1,8,1
347,1,3,0,32.7191166667,16.1,2,41,3,2,0,8,2
348,1,3,1,3.0,15.9,2,38,0,3,0,8,2
349,0,3,1,42.0,8.6625,2,16,2,1,1,8,1
350,0,3,1,23.0,9.225,2,22,2,1,1,8,1
351,0,1,1,45.3065,35.0,2,38,2,1,1,2,1
352,0,3,1,15.0,7.2292,0,18,2,3,0,8,2
353,0,3,1,25.0,17.8,2,25,2,2,0,8,2
354,0,3,1,36.5342916667,7.225,0,17,2,1,1,8,1
355,0,3,1,28.0,9.5,2,27,2,1,1,8,1
356,1,1,0,22.0,55.0,2,27,1,2,0,4,2
357,0,2,0,38.0,13.0,2,25,1,1,1,8,1
358,1,3,0,23.5565166667,7.8792,1,20,1,1,1,8,1
359,1,3,0,24.007,7.8792,1,33,1,1,1,8,1
360,0,3,1,40.0,27.9,2,18,2,6,0,8,0
361,0,2,1,29.0,27.7208,0,25,2,2,0,8,2
362,0,3,0,45.0,14.4542,0,31,3,2,0,8,2
363,0,3,1,35.0,7.05,2,15,2,1,1,8,1
364,0,3,1,30.0375916667,15.5,1,19,2,2,0,8,2
365,0,3,1,30.0,7.25,2,30,2,1,1,8,1
366,1,1,0,60.0,75.25,0,48,3,2,0,3,2
367,1,3,0,35.9459357143,7.2292,0,30,3,1,1,8,1
368,1,3,0,22.963,7.75,1,19,1,1,1,8,1
369,1,1,0,24.0,69.3,0,29,3,1,1,1,1
370,1,1,1,25.0,55.4417,0,27,2,2,0,4,2
371,0,3,1,18.0,6.4958,2,25,2,2,0,8,2
372,0,3,1,19.0,8.05,2,26,2,1,1,8,1
373,0,1,1,22.0,135.6333,0,19,2,1,1,8,1
374,0,3,0,3.0,21.075,2,26,1,5,0,8,0
375,1,1,0,43.835,82.1708,0,37,3,2,0,8,2
376,1,3,0,22.0,7.25,2,31,1,1,1,8,1
377,0,1,1,27.0,211.5,0,25,2,3,0,2,2
378,0,3,1,20.0,4.0125,0,19,2,1,1,8,1
379,0,3,1,19.0,7.775,2,27,2,1,1,8,1
380,1,1,0,42.0,227.525,0,21,1,1,1,8,1
381,1,3,0,1.0,15.7417,0,27,1,3,0,8,2
382,0,3,1,32.0,7.925,2,18,2,1,1,8,1
383,1,1,0,35.0,52.0,2,51,3,2,0,8,2
384,0,3,1,26.9011761905,7.8958,2,22,2,1,1,8,1
385,0,2,1,18.0,73.5,2,25,2,1,1,8,1
386,0,3,1,1.0,46.9,2,31,0,8,0,8,0
387,1,2,0,36.0,13.0,2,16,1,1,1,8,1
388,0,3,1,37.2430196429,7.7292,1,20,2,1,1,8,1
389,1,2,0,17.0,12.0,0,21,1,1,1,8,1
390,1,1,1,36.0,120.0,2,26,2,4,0,1,2
391,1,3,1,21.0,7.7958,2,22,2,1,1,8,1
392,0,3,1,28.0,7.925,2,28,2,3,0,8,2
393,1,1,0,23.0,113.275,0,22,1,2,0,3,2
394,1,3,0,24.0,16.7,2,51,3,3,0,6,2
395,0,3,1,22.0,7.7958,2,19,2,1,1,8,1
396,0,3,0,31.0,7.8542,2,19,1,1,1,8,1
397,0,2,1,46.0,26.0,2,23,2,1,1,8,1
398,0,2,1,23.0,10.5,2,16,4,1,1,8,1
399,1,2,0,28.0,12.65,2,32,3,1,1,8,1
400,1,3,1,39.0,7.925,2,18,2,1,1,8,1
401,0,3,1,26.0,8.05,2,15,2,1,1,8,1
402,0,3,0,21.0,9.825,2,24,1,2,0,8,2
403,0,3,1,28.0,15.85,2,30,2,2,0,8,2
404,0,3,0,20.0,8.6625,2,23,1,1,1,8,1
405,0,2,1,34.0,21.0,2,18,2,2,0,8,2
406,0,3,1,51.0,7.75,2,32,2,1,1,8,1
407,1,2,1,3.0,18.75,2,30,0,3,0,8,2
408,0,3,1,21.0,7.775,2,33,2,1,1,8,1
409,0,3,0,6.90715,25.4667,2,18,1,5,0,8,0
410,0,3,1,28.3669140512,7.8958,2,18,2,1,1,8,1
411,0,3,1,32.5999375,6.8583,1,15,2,1,1,8,1
412,1,1,0,33.0,90.0,1,22,1,2,0,2,2
413,0,2,1,26.9074916667,0.0,2,30,2,1,1,8,1
414,1,3,1,44.0,7.925,2,25,2,1,1,8,1
415,0,3,0,35.7250083333,8.05,2,39,3,1,1,8,1
416,1,2,0,34.0,32.5,2,47,3,3,0,8,2
417,1,2,0,18.0,13.0,2,29,1,3,0,8,2
418,0,2,1,30.0,13.0,2,26,2,1,1,8,1
419,0,3,0,10.0,24.15,2,25,1,3,0,8,2
420,0,3,1,28.6989940476,7.8958,0,22,2,1,1,8,1
421,0,3,1,21.0,7.7333,1,19,2,1,1,8,1
422,0,3,1,29.0,7.875,2,18,2,1,1,8,1
423,0,3,0,28.0,14.4,2,54,3,3,0,8,2
424,0,3,1,18.0,20.2125,2,27,2,3,0,8,2
425,0,3,1,22.5146,7.25,2,22,2,1,1,8,1
426,1,2,0,28.0,26.0,2,43,3,2,0,8,2
427,1,2,0,19.0,26.0,2,67,1,1,1,8,1
428,0,3,1,54.5953083333,7.75,1,16,2,1,1,8,1
429,1,3,1,32.0,8.05,2,34,2,1,1,4,1
430,1,1,1,28.0,26.55,2,41,2,1,1,2,1
431,1,3,0,27.4657,16.1,2,49,3,2,0,8,2
432,1,2,0,42.0,26.0,2,51,3,2,0,8,2
433,0,3,1,17.0,7.125,2,26,2,1,1,8,1
434,0,1,1,50.0,55.9,2,25,2,2,0,4,2
435,1,1,0,14.0,120.0,2,25,1,4,0,1,2
436,0,3,0,21.0,34.375,2,36,1,5,0,8,0
437,1,2,0,24.0,18.75,2,37,3,6,0,8,0
438,0,1,1,64.0,263.0,2,17,2,6,0,2,0
439,0,2,1,31.0,10.5,2,38,2,1,1,8,1
440,1,2,0,45.0,26.25,2,43,3,3,0,8,2
441,0,3,1,20.0,9.5,2,15,2,1,1,8,1
442,0,3,1,25.0,7.775,2,25,2,2,0,8,2
443,1,2,0,28.0,13.0,2,25,1,1,1,8,1
444,1,3,1,29.06755,8.1125,2,33,2,1,1,8,1
445,1,1,1,4.0,81.8583,2,25,0,3,0,0,2
446,1,2,0,13.0,19.5,2,33,1,2,0,8,2
447,1,1,1,34.0,26.55,2,27,2,1,1,8,1
448,1,3,0,5.0,19.2583,0,30,1,4,0,8,2
449,1,1,1,52.0,30.5,2,30,4,1,1,2,1
450,0,2,1,36.0,27.75,2,21,2,4,0,8,2
451,0,3,1,24.4245,19.9667,2,31,2,2,0,8,2
